Reference Number,Number of vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle 1,Casualty Class 1,Casualty Severity 1
75V0944,2,43982,1300,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Serious
7620548,2,43984,1047,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
7641954,2,43986,2320,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
7660369,2,43988,905,A,Wet / damp,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
7660443,2,43988,1000,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
7661330,3,43988,1630,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
76A1039,2,43992,1612,Unclassified,Wet / damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight
76C1427,2,43994,1953,Unclassified,Wet / damp,Darkness: street lights present and lit,Raining without high winds,Car,Vehicle or pillion passenger,Serious
76D0966,2,43995,1519,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight
76E1810,2,43996,1815,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious
76G0844,2,43998,1327,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
76H0690,2,43999,1231,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
76H1182,2,43999,1614,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
76I0869,2,44000,1428,Unclassified,Wet / damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight
76K1244,2,44002,1611,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Slight
76N1235,1,44005,1540,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 7.5 tonnes mgw and over,Pedestrian,Slight
76N1459,2,44005,1800,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Vehicle or pillion passenger,Serious
76O1664,2,44006,1814,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
76P0599,2,44006,1650,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious
76Q0671,2,44008,1020,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
76S0837,2,44010,1214,Unclassified,Wet / damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight
7711423,1,44013,1850,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious
7731870,1,44015,2155,Unclassified,Wet / damp,Daylight: street lights present,Raining without high winds,Car,Pedestrian,Slight
7750187,1,44016,1130,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Pedestrian,Slight
7750758,3,44017,1030,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious
7751323,1,44017,1530,B,Wet / damp,Daylight: street lights present,Raining with high winds,Car,Driver or rider,Slight
7760934,2,44018,1400,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
